PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Texas,2018,43,X,2.63998,X,X,X,X,X,X,761,107,28826
States,Washington,2018,43,X,0.446229,X,X,X,X,X,X,30,29,6723
States,California,2018,44,X,1.76401,X,X,X,X,X,X,875,113,49603
States,Florida,2018,44,X,1.17722,X,X,X,X,X,X,184,55,15630
States,Illinois,2018,44,X,1.30508,X,X,X,X,X,X,656,102,50265
States,Massachusetts,2018,44,X,1.11881,X,X,X,X,X,X,565,57,50500
States,New Jersey,2018,44,X,2.97478,X,X,X,X,X,X,992,44,33347
States,New York,2018,44,X,1.26942,X,X,X,X,X,X,781,134,61524
States,Texas,2018,44,X,2.8987,X,X,X,X,X,X,831,109,28668
States,Washington,2018,44,X,0.420954,X,X,X,X,X,X,27,28,6414
States,California,2018,45,X,1.86635,X,X,X,X,X,X,944,118,50580
States,Florida,2018,45,X,1.25567,X,X,X,X,X,X,216,58,17202
States,Illinois,2018,45,X,1.25819,X,X,X,X,X,X,632,101,50231
States,Massachusetts,2018,45,X,1.2139,X,X,X,X,X,X,599,57,49345
States,New Jersey,2018,45,X,2.92529,X,X,X,X,X,X,926,43,31655
States,New York,2018,45,X,1.09622,X,X,X,X,X,X,710,135,64768
States,Texas,2018,45,X,3.16233,X,X,X,X,X,X,945,111,29883
States,Washington,2018,45,X,0.49554,X,X,X,X,X,X,30,28,6054
States,California,2018,46,X,2.07476,X,X,X,X,X,X,943,115,45451
States,Florida,2018,46,X,1.14921,X,X,X,X,X,X,186,57,16185
States,Illinois,2018,46,X,1.37384,X,X,X,X,X,X,649,100,47240
States,Massachusetts,2018,46,X,1.1907,X,X,X,X,X,X,577,58,48459
States,New Jersey,2018,46,X,3.23105,X,X,X,X,X,X,1014,45,31383
States,New York,2018,46,X,1.10866,X,X,X,X,X,X,632,134,57006
States,Texas,2018,46,X,3.38883,X,X,X,X,X,X,973,111,28712
States,Washington,2018,46,X,0.487559,X,X,X,X,X,X,29,28,5948
States,California,2018,47,X,2.07785,X,X,X,X,X,X,719,115,34603
States,Florida,2018,47,X,1.33852,X,X,X,X,X,X,179,57,13373
States,Illinois,2018,47,X,1.55275,X,X,X,X,X,X,627,102,40380
States,Massachusetts,2018,47,X,1.63042,X,X,X,X,X,X,644,56,39499
States,New Jersey,2018,47,X,3.42996,X,X,X,X,X,X,988,45,28805
States,New York,2018,47,X,1.34015,X,X,X,X,X,X,742,136,55367
States,Texas,2018,47,X,3.67031,X,X,X,X,X,X,806,111,21960
States,Washington,2018,47,X,0.744971,X,X,X,X,X,X,30,27,4027
States,California,2018,48,X,2.35193,X,X,X,X,X,X,1177,114,50044
States,Florida,2018,48,X,1.06564,X,X,X,X,X,X,182,59,17079
States,Illinois,2018,48,X,1.44399,X,X,X,X,X,X,732,101,50693
States,Massachusetts,2018,48,X,1.39094,X,X,X,X,X,X,716,57,51476
States,New Jersey,2018,48,X,3.30683,X,X,X,X,X,X,1098,44,33204
States,New York,2018,48,X,1.31799,X,X,X,X,X,X,828,136,62823
States,Texas,2018,48,X,3.58931,X,X,X,X,X,X,1104,110,30758
States,Washington,2018,48,X,0.665668,X,X,X,X,X,X,40,25,6009
States,California,2018,49,X,2.55125,X,X,X,X,X,X,1206,113,47271
States,Florida,2018,49,X,1.32817,X,X,X,X,X,X,230,61,17317
States,Illinois,2018,49,X,1.5422,X,X,X,X,X,X,788,100,51096
States,Massachusetts,2018,49,X,1.50652,X,X,X,X,X,X,762,57,50580
States,New Jersey,2018,49,X,3.56914,X,X,X,X,X,X,1172,43,32837
States,New York,2018,49,X,1.46959,X,X,X,X,X,X,892,134,60697
States,Texas,2018,49,X,3.57419,X,X,X,X,X,X,1017,110,28454
States,Washington,2018,49,X,0.608632,X,X,X,X,X,X,33,27,5422
States,California,2018,50,X,2.90103,X,X,X,X,X,X,1356,115,46742
States,Florida,2018,50,X,1.51868,X,X,X,X,X,X,228,59,15013
States,Illinois,2018,50,X,1.68249,X,X,X,X,X,X,849,101,50461
States,Massachusetts,2018,50,X,1.68937,X,X,X,X,X,X,867,59,51321
States,New Jersey,2018,50,X,4.11366,X,X,X,X,X,X,1371,45,33328
States,New York,2018,50,X,1.95702,X,X,X,X,X,X,1172,133,59887
States,Texas,2018,50,X,4.13873,X,X,X,X,X,X,1148,110,27738
States,Washington,2018,50,X,0.739939,X,X,X,X,X,X,41,28,5541
States,California,2018,51,X,3.15841,X,X,X,X,X,X,1288,107,40780
States,Florida,2018,51,X,1.78071,X,X,X,X,X,X,267,57,14994
States,Illinois,2018,51,X,2.09465,X,X,X,X,X,X,987,97,47120
States,Massachusetts,2018,51,X,2.26225,X,X,X,X,X,X,1089,56,48138
States,New Jersey,2018,51,X,4.79964,X,X,X,X,X,X,1617,44,33690
States,New York,2018,51,X,2.42423,X,X,X,X,X,X,1427,133,58864
States,Texas,2018,51,X,4.95303,X,X,X,X,X,X,1255,102,25338
States,Washington,2018,51,X,0.928793,X,X,X,X,X,X,39,28,4199
States,California,2018,52,X,3.35655,X,X,X,X,X,X,935,105,27856
States,Florida,2018,52,X,2.34863,X,X,X,X,X,X,346,57,14732
States,Illinois,2018,52,X,3.33358,X,X,X,X,X,X,1339,97,40167
States,Massachusetts,2018,52,X,3.31652,X,X,X,X,X,X,1361,58,41037
States,New Jersey,2018,52,X,6.4099,X,X,X,X,X,X,2072,44,32325
States,New York,2018,52,X,3.02311,X,X,X,X,X,X,1757,134,58119
States,Texas,2018,52,X,6.40128,X,X,X,X,X,X,1317,102,20574
States,Washington,2018,52,X,1.31694,X,X,X,X,X,X,45,28,3417
States,California,2019,1,X,3.3413,X,X,X,X,X,X,1021,113,30557
States,Florida,2019,1,X,1.77142,X,X,X,X,X,X,281,58,15863
States,Illinois,2019,1,X,2.92991,X,X,X,X,X,X,1262,98,43073
States,Massachusetts,2019,1,X,3.20163,X,X,X,X,X,X,1461,58,45633
States,New Jersey,2019,1,X,5.7853,X,X,X,X,X,X,1953,43,33758
States,New York,2019,1,X,2.7959,X,X,X,X,X,X,1727,135,61769
States,Texas,2019,1,X,5.11093,X,X,X,X,X,X,1244,111,24340
States,Washington,2019,1,X,1.38619,X,X,X,X,X,X,57,28,4112
States,California,2019,2,X,3.14047,X,X,X,X,X,X,1415,115,45057
States,Florida,2019,2,X,1.55533,X,X,X,X,X,X,288,63,18517
States,Illinois,2019,2,X,2.18342,X,X,X,X,X,X,1019,98,46670
States,Massachusetts,2019,2,X,2.9033,X,X,X,X,X,X,1463,58,50391
States,New Jersey,2019,2,X,5.19395,X,X,X,X,X,X,1738,44,33462
States,New York,2019,2,X,2.53648,X,X,X,X,X,X,1514,132,59689
States,Texas,2019,2,X,4.66314,X,X,X,X,X,X,1331,111,28543
States,Washington,2019,2,X,1.45493,X,X,X,X,X,X,82,28,5636
States,California,2019,3,X,2.87537,X,X,X,X,X,X,1325,117,46081
States,Florida,2019,3,X,1.73988,X,X,X,X,X,X,301,59,17300
States,Illinois,2019,3,X,2.16887,X,X,X,X,X,X,1057,101,48735
States,Massachusetts,2019,3,X,3.03269,X,X,X,X,X,X,1540,55,50780
States,New Jersey,2019,3,X,5.42867,X,X,X,X,X,X,1785,44,32881
States,New York,2019,3,X,3.0807,X,X,X,X,X,X,1808,134,58688
States,Texas,2019,3,X,5.57504,X,X,X,X,X,X,1621,114,29076
States,Washington,2019,3,X,1.60766,X,X,X,X,X,X,94,28,5847
States,California,2019,4,X,2.74367,X,X,X,X,X,X,1267,118,46179
States,Florida,2019,4,X,2.53238,X,X,X,X,X,X,307,59,12123
States,Illinois,2019,4,X,2.24184,X,X,X,X,X,X,1046,100,46658
States,Massachusetts,2019,4,X,3.16343,X,X,X,X,X,X,1505,57,47575
States,New Jersey,2019,4,X,5.73364,X,X,X,X,X,X,1871,44,32632
States,New York,2019,4,X,3.47274,X,X,X,X,X,X,2085,136,60039
States,Texas,2019,4,X,7.07857,X,X,X,X,X,X,2092,116,29554
States,Washington,2019,4,X,1.87949,X,X,X,X,X,X,102,27,5427
States,California,2019,5,X,3.25349,X,X,X,X,X,X,1657,120,50930
States,Florida,2019,5,X,2.4045,X,X,X,X,X,X,445,61,18507
States,Illinois,2019,5,X,2.94723,X,X,X,X,X,X,1089,100,36950
States,Massachusetts,2019,5,X,3.20346,X,X,X,X,X,X,1568,57,48947
States,New Jersey,2019,5,X,5.77458,X,X,X,X,X,X,1869,44,32366
States,New York,2019,5,X,3.43565,X,X,X,X,X,X,2158,136,62812
States,Texas,2019,5,X,8.58413,X,X,X,X,X,X,2684,113,31267
States,Washington,2019,5,X,2.15124,X,X,X,X,X,X,132,25,6136
States,California,2019,6,X,3.26858,X,X,X,X,X,X,1617,119,49471
States,Florida,2019,6,X,2.8832,X,X,X,X,X,X,588,63,20394
States,Illinois,2019,6,X,2.3336,X,X,X,X,X,X,1198,101,51337
States,Massachusetts,2019,6,X,3.47899,X,X,X,X,X,X,1836,60,52774
States,New Jersey,2019,6,X,5.71163,X,X,X,X,X,X,2027,44,35489
States,New York,2019,6,X,3.87097,X,X,X,X,X,X,2676,135,69130
States,Texas,2019,6,X,10.165,X,X,X,X,X,X,3363,116,33084
States,Washington,2019,6,X,2.1666,X,X,X,X,X,X,103,23,4754
States,California,2019,7,X,3.77301,X,X,X,X,X,X,1726,113,45746
States,Florida,2019,7,X,2.83772,X,X,X,X,X,X,576,62,20298
States,Illinois,2019,7,X,2.7887,X,X,X,X,X,X,1326,97,47549
States,Massachusetts,2019,7,X,2.92797,X,X,X,X,X,X,1409,57,48122
States,New Jersey,2019,7,X,5.48471,X,X,X,X,X,X,1845,44,33639
States,New York,2019,7,X,4.53822,X,X,X,X,X,X,3024,134,66634
States,Texas,2019,7,X,10.203,X,X,X,X,X,X,3277,117,32118
States,Washington,2019,7,X,3.32863,X,X,X,X,X,X,165,25,4957
States,California,2019,8,X,3.40884,X,X,X,X,X,X,1562,118,45822
States,Florida,2019,8,X,2.67683,X,X,X,X,X,X,523,61,19538
States,Illinois,2019,8,X,3.16291,X,X,X,X,X,X,1601,100,50618
States,Massachusetts,2019,8,X,3.20875,X,X,X,X,X,X,1450,57,45189
States,New Jersey,2019,8,X,5.4317,X,X,X,X,X,X,1803,44,33194
States,New York,2019,8,X,4.04967,X,X,X,X,X,X,2335,135,57659
States,Texas,2019,8,X,9.28852,X,X,X,X,X,X,2910,116,31329
States,Washington,2019,8,X,2.22108,X,X,X,X,X,X,130,25,5853
States,California,2019,9,X,3.59746,X,X,X,X,X,X,1856,117,51592
States,Florida,2019,9,X,2.13744,X,X,X,X,X,X,423,61,19790
States,Illinois,2019,9,X,3.17846,X,X,X,X,X,X,1557,98,48986
States,Massachusetts,2019,9,X,2.44278,X,X,X,X,X,X,1239,60,50721
States,New Jersey,2019,9,X,4.66111,X,X,X,X,X,X,1548,44,33211
States,New York,2019,9,X,3.24017,X,X,X,X,X,X,1979,134,61077
States,Texas,2019,9,X,9.54986,X,X,X,X,X,X,3055,117,31990
States,Washington,2019,9,X,2.24244,X,X,X,X,X,X,138,28,6154
States,California,2019,10,X,3.52475,X,X,X,X,X,X,1804,116,51181
States,Florida,2019,10,X,2.13698,X,X,X,X,X,X,395,61,18484
States,Illinois,2019,10,X,3.29914,X,X,X,X,X,X,1650,99,50013
States,Massachusetts,2019,10,X,2.32792,X,X,X,X,X,X,1109,58,47639
States,New Jersey,2019,10,X,4.69154,X,X,X,X,X,X,1562,44,33294
States,New York,2019,10,X,3.19059,X,X,X,X,X,X,2034,134,63750
States,Texas,2019,10,X,8.74129,X,X,X,X,X,X,2723,118,31151
States,Washington,2019,10,X,3.28871,X,X,X,X,X,X,199,27,6051
States,California,2019,11,X,3.36917,X,X,X,X,X,X,1708,114,50695
States,Florida,2019,11,X,1.87672,X,X,X,X,X,X,362,58,19289
States,Illinois,2019,11,X,3.6678,X,X,X,X,X,X,1907,100,51993
States,Massachusetts,2019,11,X,2.40205,X,X,X,X,X,X,1201,58,49999
States,New Jersey,2019,11,X,4.49555,X,X,X,X,X,X,1560,44,34701
States,New York,2019,11,X,3.2431,X,X,X,X,X,X,2105,138,64907
States,Texas,2019,11,X,7.83312,X,X,X,X,X,X,2101,115,26822
States,Washington,2019,11,X,4.59497,X,X,X,X,X,X,232,28,5049
States,California,2019,12,X,3.48291,X,X,X,X,X,X,1699,117,48781
States,Florida,2019,12,X,1.82506,X,X,X,X,X,X,275,57,15068
States,Illinois,2019,12,X,3.12172,X,X,X,X,X,X,1458,99,46705
States,Massachusetts,2019,12,X,2.23867,X,X,X,X,X,X,1125,59,50253
States,New Jersey,2019,12,X,4.06803,X,X,X,X,X,X,1349,43,33161
States,New York,2019,12,X,3.26153,X,X,X,X,X,X,2038,137,62486
States,Texas,2019,12,X,5.80826,X,X,X,X,X,X,1757,118,30250
States,Washington,2019,12,X,3.77262,X,X,X,X,X,X,221,28,5858
States,California,2019,13,X,2.96381,X,X,X,X,X,X,1371,116,46258
States,Florida,2019,13,X,1.15738,X,X,X,X,X,X,184,59,15898
States,Illinois,2019,13,X,2.53223,X,X,X,X,X,X,1255,101,49561
States,Massachusetts,2019,13,X,2.37729,X,X,X,X,X,X,1237,57,52034
States,New Jersey,2019,13,X,3.6994,X,X,X,X,X,X,1242,43,33573
States,New York,2019,13,X,2.74534,X,X,X,X,X,X,1723,135,62761
States,Texas,2019,13,X,4.90247,X,X,X,X,X,X,1405,113,28659
States,Washington,2019,13,X,2.33898,X,X,X,X,X,X,138,28,5900
States,California,2019,14,X,2.9268,X,X,X,X,X,X,1329,114,45408
States,Florida,2019,14,X,1.38206,X,X,X,X,X,X,239,58,17293
States,Illinois,2019,14,X,2.14498,X,X,X,X,X,X,1062,100,49511
States,Massachusetts,2019,14,X,2.31118,X,X,X,X,X,X,1202,58,52008
States,New Jersey,2019,14,X,3.44312,X,X,X,X,X,X,1129,44,32790
States,New York,2019,14,X,2.74644,X,X,X,X,X,X,1699,136,61862
States,Texas,2019,14,X,4.41071,X,X,X,X,X,X,1226,115,27796
States,Washington,2019,14,X,1.46951,X,X,X,X,X,X,80,27,5444
States,California,2019,15,X,2.40137,X,X,X,X,X,X,1165,112,48514
States,Florida,2019,15,X,1.42816,X,X,X,X,X,X,249,58,17435
States,Illinois,2019,15,X,2.01384,X,X,X,X,X,X,847,95,42059
States,Massachusetts,2019,15,X,2.18194,X,X,X,X,X,X,1146,58,52522
States,New Jersey,2019,15,X,3.20178,X,X,X,X,X,X,1053,43,32888
States,New York,2019,15,X,2.08497,X,X,X,X,X,X,1301,136,62399
States,Texas,2019,15,X,3.9139,X,X,X,X,X,X,1131,116,28897
States,Washington,2019,15,X,0.857093,X,X,X,X,X,X,49,28,5717
States,California,2019,16,X,2.27985,X,X,X,X,X,X,1084,102,47547
States,Florida,2019,16,X,1.21707,X,X,X,X,X,X,182,54,14954
States,Illinois,2019,16,X,1.52357,X,X,X,X,X,X,691,94,45354
States,Massachusetts,2019,16,X,1.91586,X,X,X,X,X,X,888,59,46350
States,New Jersey,2019,16,X,2.65269,X,X,X,X,X,X,830,43,31289
States,New York,2019,16,X,1.77157,X,X,X,X,X,X,1020,133,57576
States,Texas,2019,16,X,3.42261,X,X,X,X,X,X,929,114,27143
States,Washington,2019,16,X,0.706952,X,X,X,X,X,X,42,28,5941
States,California,2019,17,X,2.02365,X,X,X,X,X,X,972,112,48032
States,Florida,2019,17,X,0.91954,X,X,X,X,X,X,144,55,15660
States,Illinois,2019,17,X,1.30153,X,X,X,X,X,X,562,97,43180
States,Massachusetts,2019,17,X,1.40275,X,X,X,X,X,X,700,58,49902
States,New Jersey,2019,17,X,2.51062,X,X,X,X,X,X,780,43,31068
States,New York,2019,17,X,1.26076,X,X,X,X,X,X,753,136,59726
States,Texas,2019,17,X,2.70961,X,X,X,X,X,X,657,98,24247
States,Washington,2019,17,X,0.4111,X,X,X,X,X,X,24,28,5838
States,California,2019,18,X,1.62147,X,X,X,X,X,X,702,92,43294
States,Florida,2019,18,X,1.09194,X,X,X,X,X,X,169,54,15477
States,Illinois,2019,18,X,1.21592,X,X,X,X,X,X,479,91,39394
States,Massachusetts,2019,18,X,1.32288,X,X,X,X,X,X,653,55,49362
States,New Jersey,2019,18,X,2.35408,X,X,X,X,X,X,757,43,32157
States,New York,2019,18,X,1.15328,X,X,X,X,X,X,656,133,56881
States,Texas,2019,18,X,2.57196,X,X,X,X,X,X,722,113,28072
States,Washington,2019,18,X,0.555024,X,X,X,X,X,X,29,17,5225
States,California,2019,19,X,1.8175,X,X,X,X,X,X,771,88,42421
States,Florida,2019,19,X,1.01572,X,X,X,X,X,X,135,54,13291
States,Illinois,2019,19,X,1.05872,X,X,X,X,X,X,487,93,45999
States,Massachusetts,2019,19,X,1.11937,X,X,X,X,X,X,550,54,49135
States,New Jersey,2019,19,X,2.14652,X,X,X,X,X,X,683,42,31819
States,New York,2019,19,X,0.897742,X,X,X,X,X,X,512,130,57032
States,Texas,2019,19,X,2.51409,X,X,X,X,X,X,620,102,24661
States,Washington,2019,19,X,0.50958,X,X,X,X,X,X,25,26,4906
States,California,2019,20,X,1.63414,X,X,X,X,X,X,674,88,41245
States,Florida,2019,20,X,1.05157,X,X,X,X,X,X,146,54,13884
States,Illinois,2019,20,X,1.04839,X,X,X,X,X,X,445,87,42446
States,Massachusetts,2019,20,X,1.2373,X,X,X,X,X,X,599,54,48412
States,New Jersey,2019,20,X,2.33124,X,X,X,X,X,X,738,43,31657
States,New York,2019,20,X,0.812505,X,X,X,X,X,X,315,121,38769
States,Texas,2019,20,X,2.51157,X,X,X,X,X,X,597,104,23770
States,Washington,2019,20,X,0.383632,X,X,X,X,X,X,18,26,4692
States,California,2019,21,X,1.54355,X,X,X,X,X,X,616,79,39908
States,Florida,2019,21,X,0.88066,X,X,X,X,X,X,127,55,14421
States,Illinois,2019,21,X,0.971741,X,X,X,X,X,X,370,79,38076
States,Massachusetts,2019,21,X,1.09884,X,X,X,X,X,X,556,47,50599
States,New Jersey,2019,21,X,2.19909,X,X,X,X,X,X,695,36,31604
States,New York,2019,21,X,0.898427,X,X,X,X,X,X,517,129,57545
States,Texas,2019,21,X,2.91262,X,X,X,X,X,X,507,65,17407
States,Washington,2019,21,X,0.507731,X,X,X,X,X,X,22,12,4333
States,California,2019,22,X,1.68956,X,X,X,X,X,X,620,80,36696
States,Florida,2019,22,X,1.076,X,X,X,X,X,X,143,54,13290
States,Illinois,2019,22,X,0.917311,X,X,X,X,X,X,281,77,30633
States,Massachusetts,2019,22,X,1.34337,X,X,X,X,X,X,439,33,32679
States,New Jersey,2019,22,X,2.28107,X,X,X,X,X,X,746,43,32704
States,New York,2019,22,X,0.918154,X,X,X,X,X,X,513,129,55873
States,Texas,2019,22,X,2.23086,X,X,X,X,X,X,442,98,19813
States,Washington,2019,22,X,0.597558,X,X,X,X,X,X,23,9,3849
States,California,2019,23,X,1.53268,X,X,X,X,X,X,579,76,37777
States,Florida,2019,23,X,0.736503,X,X,X,X,X,X,103,54,13985
States,Illinois,2019,23,X,0.811217,X,X,X,X,X,X,243,75,29955
States,Massachusetts,2019,23,X,1.00537,X,X,X,X,X,X,466,43,46351
States,New Jersey,2019,23,X,1.99016,X,X,X,X,X,X,623,42,31304
States,New York,2019,23,X,0.789753,X,X,X,X,X,X,447,125,56600
States,Texas,2019,23,X,2.20845,X,X,X,X,X,X,474,95,21463
States,Washington,2019,23,X,0.543607,X,X,X,X,X,X,23,19,4231
States,California,2019,24,X,1.44924,X,X,X,X,X,X,570,73,39331
States,Florida,2019,24,X,0.547459,X,X,X,X,X,X,71,53,12969
States,Illinois,2019,24,X,0.715432,X,X,X,X,X,X,272,78,38019
States,Massachusetts,2019,24,X,0.858033,X,X,X,X,X,X,394,45,45919
States,New Jersey,2019,24,X,2.03344,X,X,X,X,X,X,653,42,32113
States,New York,2019,24,X,0.668978,X,X,X,X,X,X,384,123,57401
States,Texas,2019,24,X,2.25626,X,X,X,X,X,X,461,90,20432
States,Washington,2019,24,X,0.342827,X,X,X,X,X,X,13,9,3792
States,California,2019,25,X,1.24964,X,X,X,X,X,X,474,76,37931
States,Florida,2019,25,X,0.473037,X,X,X,X,X,X,60,52,12684
States,Illinois,2019,25,X,0.573178,X,X,X,X,X,X,219,78,38208
States,Massachusetts,2019,25,X,0.825837,X,X,X,X,X,X,381,44,46135
States,New Jersey,2019,25,X,1.78061,X,X,X,X,X,X,573,42,32180
States,New York,2019,25,X,0.729279,X,X,X,X,X,X,411,123,56357
States,Texas,2019,25,X,1.99168,X,X,X,X,X,X,407,96,20435
States,Washington,2019,25,X,0.260213,X,X,X,X,X,X,10,9,3843
States,California,2019,26,X,1.22439,X,X,X,X,X,X,465,74,37978
States,Florida,2019,26,X,0.580431,X,X,X,X,X,X,77,55,13266
States,Illinois,2019,26,X,0.758469,X,X,X,X,X,X,238,75,31379
States,Massachusetts,2019,26,X,0.839302,X,X,X,X,X,X,382,44,45514
States,New Jersey,2019,26,X,1.78454,X,X,X,X,X,X,572,38,32053
States,New York,2019,26,X,0.692452,X,X,X,X,X,X,420,124,60654
States,Texas,2019,26,X,1.93911,X,X,X,X,X,X,300,56,15471
States,Washington,2019,26,X,0.182959,X,X,X,X,X,X,7,19,3826
States,California,2019,27,X,1.00449,X,X,X,X,X,X,329,76,32753
States,Florida,2019,27,X,0.49955,X,X,X,X,X,X,61,54,12211
States,Illinois,2019,27,X,0.665734,X,X,X,X,X,X,195,73,29291
States,Massachusetts,2019,27,X,0.774005,X,X,X,X,X,X,308,44,39793
States,New Jersey,2019,27,X,1.79779,X,X,X,X,X,X,569,42,31650
States,New York,2019,27,X,0.677309,X,X,X,X,X,X,395,124,58319
States,Texas,2019,27,X,1.80349,X,X,X,X,X,X,328,94,18187
States,Washington,2019,27,X,0.539926,X,X,X,X,X,X,19,15,3519
States,California,2019,28,X,0.899837,X,X,X,X,X,X,343,76,38118
States,Florida,2019,28,X,0.602188,X,X,X,X,X,X,82,54,13617
States,Illinois,2019,28,X,0.574171,X,X,X,X,X,X,195,75,33962
States,Massachusetts,2019,28,X,0.636237,X,X,X,X,X,X,293,43,46052
States,New Jersey,2019,28,X,1.61793,X,X,X,X,X,X,529,38,32696
States,New York,2019,28,X,0.606159,X,X,X,X,X,X,374,124,61700
States,Texas,2019,28,X,1.63544,X,X,X,X,X,X,254,58,15531
States,Washington,2019,28,X,0.353838,X,X,X,X,X,X,13,19,3674
States,California,2019,29,X,0.911741,X,X,X,X,X,X,344,76,37730
States,Florida,2019,29,X,0.471219,X,X,X,X,X,X,65,53,13794
States,Illinois,2019,29,X,0.519296,X,X,X,X,X,X,197,77,37936
States,Massachusetts,2019,29,X,0.671475,X,X,X,X,X,X,297,42,44231
States,New Jersey,2019,29,X,1.43867,X,X,X,X,X,X,466,42,32391
States,New York,2019,29,X,0.496888,X,X,X,X,X,X,297,123,59772
States,Texas,2019,29,X,1.35155,X,X,X,X,X,X,281,96,20791
States,Washington,2019,29,X,0.265041,X,X,X,X,X,X,10,19,3773
States,California,2019,30,X,0.898999,X,X,X,X,X,X,345,74,38376
States,Florida,2019,30,X,0.528342,X,X,X,X,X,X,70,50,13249
States,Illinois,2019,30,X,0.57845,X,X,X,X,X,X,193,76,33365
States,Massachusetts,2019,30,X,0.583388,X,X,X,X,X,X,257,42,44053
States,New Jersey,2019,30,X,1.32749,X,X,X,X,X,X,430,40,32392
States,New York,2019,30,X,0.510265,X,X,X,X,X,X,298,124,58401
States,Texas,2019,30,X,1.58026,X,X,X,X,X,X,317,94,20060
States,Washington,2019,30,X,0.344645,X,X,X,X,X,X,13,19,3772
States,California,2019,31,X,0.834614,X,X,X,X,X,X,315,75,37742
States,Florida,2019,31,X,0.514754,X,X,X,X,X,X,71,51,13793
States,Illinois,2019,31,X,0.566718,X,X,X,X,X,X,187,75,32997
States,Massachusetts,2019,31,X,0.578544,X,X,X,X,X,X,256,42,44249
States,New Jersey,2019,31,X,1.37332,X,X,X,X,X,X,446,43,32476
States,New York,2019,31,X,0.496411,X,X,X,X,X,X,296,124,59628
States,Texas,2019,31,X,1.3381,X,X,X,X,X,X,281,94,21000
States,Washington,2019,31,X,0.184648,X,X,X,X,X,X,7,19,3791
States,California,2019,32,X,0.99623,X,X,X,X,X,X,370,71,37140
States,Florida,2019,32,X,0.385917,X,X,X,X,X,X,57,54,14770
States,Illinois,2019,32,X,0.582779,X,X,X,X,X,X,191,75,32774
States,Massachusetts,2019,32,X,0.628001,X,X,X,X,X,X,276,43,43949
States,New Jersey,2019,32,X,1.4127,X,X,X,X,X,X,445,43,31500
States,New York,2019,32,X,0.582389,X,X,X,X,X,X,317,124,54431
States,Texas,2019,32,X,1.18368,X,X,X,X,X,X,253,93,21374
States,Washington,2019,32,X,0.238347,X,X,X,X,X,X,9,19,3776
States,California,2019,33,X,0.816787,X,X,X,X,X,X,311,70,38076
